ConcessionariaRodoviakm,Concessionaria,kmmt,Rodovia,Longitude,Latitude
Fernão Dias.MG-BR381.491.1,Fernão Dias,491.1,MG-BR381,-44.15227315,-19.95830832
Fernão Dias.MG-BR381.482.5,Fernão Dias,482.5,MG-BR381,-44.0749185,-19.958349
Fernão Dias.MG-BR381.483.4,Fernão Dias,483.4,MG-BR381,-44.08299515,-19.95840919
Fernão Dias.MG-BR381.482.4,Fernão Dias,482.4,MG-BR381,-44.07354291,-19.95853049
Fernão Dias.MG-BR381.483.5,Fernão Dias,483.5,MG-BR381,-44.083868,-19.9585755
Fernão Dias.MG-BR381.491.2,Fernão Dias,491.2,MG-BR381,-44.15296434,-19.95858157
Fernão Dias.MG-BR381.482.3,Fernão Dias,482.3,MG-BR381,-44.07308419,-19.95859101
Fernão Dias.MG-BR381.481.1,Fernão Dias,481.1,MG-BR381,-44.06178306,-19.9585922
Fernão Dias.MG-BR381.481.2,Fernão Dias,481.2,MG-BR381,-44.06273312,-19.9586324
Fernão Dias.MG-BR381.477.5,Fernão Dias,477.5,MG-BR381,-44.0318665,-19.958653
Fernão Dias.MG-BR381.481.0,Fernão Dias,481,MG-BR381,-44.06039366,-19.95865937
Fernão Dias.MG-BR381.481.3,Fernão Dias,481.3,MG-BR381,-44.06347414,-19.95866376
Fernão Dias.MG-BR381.481.4,Fernão Dias,481.4,MG-BR381,-44.06415806,-19.9586927
Fernão Dias.MG-BR381.483.6,Fernão Dias,483.6,MG-BR381,-44.08474085,-19.95874181
Fernão Dias.MG-BR381.481.5,Fernão Dias,481.5,MG-BR381,-44.06553545,-19.95875099
Fernão Dias.MG-BR381.480.9,Fernão Dias,480.9,MG-BR381,-44.05995405,-19.95876681
Fernão Dias.MG-BR381.482.2,Fernão Dias,482.2,MG-BR381,-44.07170859,-19.95877251
Fernão Dias.MG-BR381.481.6,Fernão Dias,481.6,MG-BR381,-44.06605788,-19.9587731
Fernão Dias.MG-BR381.481.7,Fernão Dias,481.7,MG-BR381,-44.0670839,-19.95881651
Fernão Dias.MG-BR381.482.1,Fernão Dias,482.1,MG-BR381,-44.07125016,-19.95883299
Fernão Dias.MG-BR381.484.2,Fernão Dias,484.2,MG-BR381,-44.0894645,-19.95884287
Fernão Dias.MG-BR381.481.8,Fernão Dias,481.8,MG-BR381,-44.06842361,-19.9588732
Fernão Dias.MG-BR381.483.7,Fernão Dias,483.7,MG-BR381,-44.08561371,-19.95890812
Fernão Dias.MG-BR381.481.9,Fernão Dias,481.9,MG-BR381,-44.06938294,-19.9589138
Fernão Dias.MG-BR381.482.0,Fernão Dias,482,MG-BR381,-44.06985812,-19.9589339
Fernão Dias.MG-BR381.491.3,Fernão Dias,491.3,MG-BR381,-44.15404519,-19.95900886
Fernão Dias.MG-BR381.477.6,Fernão Dias,477.6,MG-BR381,-44.03273305,-19.95905402
Fernão Dias.MG-BR381.483.8,Fernão Dias,483.8,MG-BR381,-44.08648629,-19.95907438
Fernão Dias.MG-BR381.480.8,Fernão Dias,480.8,MG-BR381,-44.05863575,-19.959089
Fernão Dias.MG-BR381.484.1,Fernão Dias,484.1,MG-BR381,-44.08880725,-19.9591437
Fernão Dias.MG-BR381.483.9,Fernão Dias,483.9,MG-BR381,-44.08706242,-19.95918415
Fernão Dias.MG-BR381.480.7,Fernão Dias,480.7,MG-BR381,-44.05819641,-19.95919637
Fernão Dias.MG-BR381.491.4,Fernão Dias,491.4,MG-BR381,-44.15457683,-19.95921903
Fernão Dias.MG-BR381.484.0,Fernão Dias,484,MG-BR381,-44.08779571,-19.95932387
Fernão Dias.MG-BR381.477.7,Fernão Dias,477.7,MG-BR381,-44.03359961,-19.95945505
Fernão Dias.MG-BR381.480.6,Fernão Dias,480.6,MG-BR381,-44.05696582,-19.95949713
Fernão Dias.MG-BR381.491.5,Fernão Dias,491.5,MG-BR381,-44.15555168,-19.95960441
Fernão Dias.MG-BR381.480.5,Fernão Dias,480.5,MG-BR381,-44.0564385,-19.959626
Fernão Dias.MG-BR381.480.4,Fernão Dias,480.4,MG-BR381,-44.05555955,-19.95984081
Fernão Dias.MG-BR381.477.8,Fernão Dias,477.8,MG-BR381,-44.03446589,-19.95985595
Fernão Dias.MG-BR381.491.6,Fernão Dias,491.6,MG-BR381,-44.15634914,-19.95991967
Fernão Dias.MG-BR381.480.3,Fernão Dias,480.3,MG-BR381,-44.05468059,-19.96005563
Fernão Dias.MG-BR381.477.9,Fernão Dias,477.9,MG-BR381,-44.03533245,-19.96025698
Fernão Dias.MG-BR381.491.7,Fernão Dias,491.7,MG-BR381,-44.15741242,-19.96034001
Fernão Dias.MG-BR381.480.2,Fernão Dias,480.2,MG-BR381,-44.0533623,-19.96037781
Fernão Dias.MG-BR381.478.0,Fernão Dias,478,MG-BR381,-44.03576586,-19.96045755
Fernão Dias.MG-BR381.480.1,Fernão Dias,480.1,MG-BR381,-44.05292295,-19.96048519
Fernão Dias.MG-BR381.491.8,Fernão Dias,491.8,MG-BR381,-44.15803275,-19.96058525
Fernão Dias.MG-BR381.480.0,Fernão Dias,480,MG-BR381,-44.05164235,-19.96087151
Fernão Dias.MG-BR381.478.1,Fernão Dias,478.1,MG-BR381,-44.03698005,-19.96100532
Fernão Dias.MG-BR381.479.9,Fernão Dias,479.9,MG-BR381,-44.05124045,-19.96104312
Fernão Dias.MG-BR381.491.9,Fernão Dias,491.9,MG-BR381,-44.15924665,-19.96106514
Fernão Dias.MG-BR381.478.2,Fernão Dias,478.2,MG-BR381,-44.03740168,-19.96119281
Fernão Dias.MG-BR381.492.0,Fernão Dias,492,MG-BR381,-44.15980506,-19.96128589
Fernão Dias.MG-BR381.479.8,Fernão Dias,479.8,MG-BR381,-44.05038075,-19.96141022
Fernão Dias.MG-BR381.492.1,Fernão Dias,492.1,MG-BR381,-44.16088834,-19.96162519
Fernão Dias.MG-BR381.478.3,Fernão Dias,478.3,MG-BR381,-44.0385419,-19.96169986
Fernão Dias.MG-BR381.479.7,Fernão Dias,479.7,MG-BR381,-44.0496336,-19.96172926
Fernão Dias.MG-BR381.492.2,Fernão Dias,492.2,MG-BR381,-44.16160049,-19.96180779
Fernão Dias.MG-BR381.478.4,Fernão Dias,478.4,MG-BR381,-44.03893255,-19.96187357
Fernão Dias.MG-BR381.492.3,Fernão Dias,492.3,MG-BR381,-44.16252922,-19.96204591
Fernão Dias.MG-BR381.479.6,Fernão Dias,479.6,MG-BR381,-44.04842815,-19.96224399
Fernão Dias.MG-BR381.492.4,Fernão Dias,492.4,MG-BR381,-44.16382778,-19.96237887
Fernão Dias.MG-BR381.478.5,Fernão Dias,478.5,MG-BR381,-44.040104,-19.9623945
Fernão Dias.MG-BR381.479.5,Fernão Dias,479.5,MG-BR381,-44.04794607,-19.96244984
Fernão Dias.MG-BR381.492.5,Fernão Dias,492.5,MG-BR381,-44.16474742,-19.96261467
Fernão Dias.MG-BR381.478.6,Fernão Dias,478.6,MG-BR381,-44.04065862,-19.96264113
Fernão Dias.MG-BR381.492.6,Fernão Dias,492.6,MG-BR381,-44.16520724,-19.96273257
