concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 2";"Comercial";22595.00;2.00;45190.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";1247.00;1.50;1870.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";1072.00;1.50;1608.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";37836.00;3.00;113508.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";38120.00;3.00;114360.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";164.00;2.00;328.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";155.00;2.00;310.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";9555.00;4.00;38220.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";9136.00;4.00;36544.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";23593.00;5.00;117965.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";24063.00;5.00;120315.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";32106.00;6.00;192636.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";31486.00;6.00;188916.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";6456.00;0.50;3228.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";6144.00;0.50;3072.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";10554.00;6.00;63324.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";10751.00;6.00;64506.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";222684.00;1.00;222684.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";162978.00;1.00;162978.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 2";"Comercial";17972.00;2.00;35944.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 2";"Comercial";18143.00;2.00;36286.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";1351.00;1.50;2026.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";1130.00;1.50;1695.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";39877.00;3.00;119631.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";40825.00;3.00;122475.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";181.00;2.00;362.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";151.00;2.00;302.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";10645.00;4.00;42580.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";10717.00;4.00;42868.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";22747.00;5.00;113735.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";22985.00;5.00;114925.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";33990.00;6.00;203940.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";33239.00;6.00;199434.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";3097.00;0.50;1548.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";2586.00;0.50;1293.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";11398.00;6.00;68388.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";11171.00;6.00;67026.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";202557.00;1.00;202557.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";150007.00;1.00;150007.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 2";"Comercial";15778.00;2.00;31556.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 2";"Comercial";16167.00;2.00;32334.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 3";"Passeio";1314.00;1.50;1971.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 3";"Passeio";1141.00;1.50;1711.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 4";"Comercial";39196.00;3.00;117588.00
